Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Regional Sales Officer,Pune,Full Time,Retail & B2C Sales Department,8 Sep 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Led market retailer and parimary distribution handling he team,Nothing one
Assistant Manager,Pune,Full Time,Production & Manufacturing Department,4 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is the best organization for new learning and carrier growth. I learned so much thing with the help all top management support.,No
Dsc Manager,"Mehsana, Gujarat",Full Time,After Sales Service & Repair Department,7 Sep 2023,5.0,4.0,4.0,5.0,5.0,5.0,5.0,supportive & helping in nature,difficult to manage work life
Qa Qc Inspector,Greater Noida,Full Time,Quality Assurance and Testing Department,5 Aug 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,"Nice looking, wonderful facilities",Miss behaviour
Functional Consultant,Vijayawada,Full Time,Finance Department,3 Jun 2023,2.0,2.0,1.0,2.0,3.0,3.0,1.0,Good for sakes employees only,"Less women employees other than sales No recognization for depts
No growth for off role employess"
Assitant General Manager- QA,Pune,Full Time,Production & Manufacturing Department,0 Jun 2023,2.0,2.0,1.0,2.0,1.0,2.0,2.0,Being a MNC people knows where your person working,At first Haier shows EMC part of salary then they uses to calculate as per their understanding & calculations. Later you will realise that you beaver had get that amount which was mentioned in your offered letter.
Store Executive,Greater Noida,Full Time,Stores & Material Management Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good timing and working culture,Not to dislike
Hospital Administrator   (working remotely),,Part Time,General Insurance Department,4 Jun 2023,1.0,5.0,2.0,5.0,4.0,1.0,3.0,I am like to working for hair customer care support is very good and work is nice and very simple and enjoying to,What's this like system message Abhi Tak Nahi Jaan Paye Hain
Deputy Manager,"Greater Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",4 Jul 2023,4.0,4.0,3.0,3.0,3.0,3.0,3.0,"Good learning,  good area of learing scope",Very less financial growth
Assistant Engineer,Pune,Full Time,Production & Manufacturing Department,1 Aug 2023,5.0,4.0,5.0,4.0,3.0,4.0,4.0,"Team work 
 product totaly qualification","Bad activities  one-one man work 
people behaviot"
Service Engineer,GAUHATI,Contractual,After Sales Service & Repair Department,9 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,For my better performance in future,About service center for less performance in field
Manager,"Chandigarh, Chandigarh",Full Time,Sales Support & Operations Department,2 Aug 2023,5.0,4.0,5.0,5.0,1.0,2.0,3.0,YES Haier is professional organization,Process are not clear.
Product Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,9 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Very professional company to work & upgrade ourself with lots of support from senior managers. 
Over all enjoy working here 😃",Not so far
Sales Executive,Chennai,Full Time,Employee Relations Department,3 May 2023,5.0,4.0,4.0,4.0,4.0,3.0,3.0,HAIER COMPANY WAS GOOD QUALITY  OF COMPANY.BUT SERVICE WAS AVERAGE...IF U GET GOOD SERVICE PROVIDE AND THEN NO 1 COMPANY IMPROVING...,"SERVICE IS POOR,"
Senior Executive Store,Pune,Full Time,Stores & Material Management Department,1 Jul 2023,2.0,1.0,4.0,1.0,2.0,1.0,2.0,Nothing to like,"Poor management, and daily extra working"
Housekeeping Supervisor   (working remotely),,Full Time,Facility Management Department,7 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Treating everyone as equal priority over here.,Overall good experience no dislikes
Diploma Engineer Trainee,Pune,Full Time,Production Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best working idea how to work in work shop,Best work
Computer Operator   (working remotely),,Freelancer,General Insurance Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ksnksksnslsmla
Jsikslowlw
Kwokwskosksksn
Jsksnsksm
Ejksjsk2
Jjsnsks
Isjsjks
Ososksk",Nothing
Junior Engineer,Pune,Full Time,Production & Manufacturing Department,7 Sep 2023,5.0,5.0,4.0,5.0,5.0,3.0,4.0,Thats a good company,Not
Area Service Manager,"Surat, Gujarat",Full Time,Customer Success Department,8 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Skill Development and variable benefits,Promotional / Appraisals are too low
Senior Engineer,Greater Noida,Full Time,Production & Manufacturing Department,8 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Working culture is set by Chinese is good,Management person also to be review every year for compatibility
Sr. Engineer-SCM,Pune,Full Time,SCM & Logistics Department,4 Aug 2023,4.0,3.0,4.0,4.0,3.0,3.0,4.0,System based systematic work.,Documentation part
Deputy Manager,Greater Noida,Full Time,Quality Assurance and Testing Department,7 Jul 2023,1.0,1.0,3.0,3.0,4.0,1.0,2.0,You will learning about you technology,"Mentally harrassment
Working life very poor"
Trainee,Greater Noida,Full Time,Product Management - Technology Department,1 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Everything on time,Nothing for dislike
Senior Officer,Greater Noida,Full Time,"Operations, Maintenance & Support Department",3 Jul 2023,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Very poor SOP and mangement politics.,Very bad culture.. Not secure life balance
Sales Promoter   (working remotely),,Part Time,Sales Support & Operations Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good product $ services,Nil
Packing Operator,Pune,Full Time,"Operations, Maintenance & Support Department",7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very nice work it department,Canteen worker is very bad I dislike it
Senior Service Engineer,Ullubari Guwahati Assam,Full Time,"BFSI, Investments & Trading Department",7 Jun 2023,4.0,4.0,5.0,4.0,3.0,4.0,4.0,Overall good company and to inhance more knowledge with more products..  inrespect of good work culture,No dislike
Robot Operator,Noida,Full Time,Other Department,6 Jul 2023,4.0,3.0,3.0,3.0,1.0,4.0,1.0,The quality of it prodects is good. I like it.,In this company salary is not enough.
Assistant Manager Strategy Operations,Greater Noida,Full Time,Strategic Management Department,8 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1. Excellent work culture
2. Support from senior management",1. Distance
Assistant Engineer,Pune,Full Time,Production & Manufacturing Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good  work,Team work not ok
Production Supervisor,New Delhi,Full Time,Engineering Department,0 Aug 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,work satisfaction are very good,company culture are very bad
Manager - Moder Trade,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,6 Jul 2023,4.0,4.0,4.0,5.0,4.0,5.0,4.0,Culture & Employee Oriented Policies,6 days Working
Senior Lab Engineer   (working remotely),,Full Time,Quality Assurance and Testing Department,3 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Very Good Company Culture senior are very supportive,Haier Reduced production but never compromise with quality
Senior Consultant,"Greater Noida, Uttar Pradesh",Full Time,Sales Support & Operations Department,1 May 2023,5.0,3.0,5.0,3.0,5.0,5.0,3.0,Company give all the freedom to achieve your traget,As compared to same organisation salary are bit lower
Senior Manager Strategy,New Delhi,Full Time,Strategic Management Department,3 Aug 2023,3.0,4.0,2.0,4.0,3.0,4.0,3.0,Good place to work,Opportunity to grow overall good
