Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Office Manager,Azamgarh,Full Time,,4 Feb 2022,4.0,4.0,3.0,4.0,4.0,3.0,4.0,"Work satisfaction,Job security.",Salary is decent but career growth is slow.
Assistant Manager,Nashik,Full Time,Engineering Department,1 Apr 2021,3.0,2.0,3.0,4.0,3.0,3.0,2.0,Flexible timming,No over time
Diploma Trainee,Nashik,Full Time,Engineering & Manufacturing Department,8 Nov 2020,5.0,4.0,5.0,4.0,5.0,4.0,3.0,Good work environment and culture. Teammates are supportive and the management is transparent.,There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow.
Warehouse Incharge,,,Operations Support Department,8 Oct 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work,Yes
Assistant Engineer Production,Mumbai Kandi Vali,,Engine Assembly Department,8 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no,As engineer
Technical Engineer,Pune,,,4 Jul 2021,2.0,3.0,5.0,2.0,3.0,4.0,4.0,Bed behaviour is not like,Likes good supportive carrier oriented
Executive,"Chennai, Tamil Nadu",,,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Dislikes,Good knowledge gaining experience
Engineer,Chennai,,Production & Manufacturing Department,9 Apr 2021,5.0,4.0,5.0,4.0,4.0,3.0,4.0,Extended work hours,Training Facility is really good
Assistant Manager,Nashik,,"Operations, Maintenance & Support Department",9 Apr 2021,5.0,3.0,4.0,3.0,4.0,4.0,2.0,Work Culture,Agressive and growing group
Manager Vendor Development,Mumbai,,Procurement & Purchase Department,0 Nov 2021,5.0,,,,,,,,
Sales & Marketing,Hyderabad/Secunderabad,Full Time,Sales & Marketing Department,1 Sep 2021,4.0,3.0,4.0,4.0,4.0,4.0,3.0,Good company,Yes the job security  some crores of people believes  especially the farmers
Service Maintenance Supervisor,Karimnagar,Full Time,,0 Feb 2021,5.0,1.0,5.0,4.0,5.0,1.0,4.0,No it's great company so many  NGos conducting for the poor people,India's best place to work. Environment and good culture.
Assistant Sales Manager,Mohali,,Retail & B2C Sales Department,1 Apr 2021,5.0,5.0,5.0,4.0,4.0,5.0,4.0,Everything is great,"Appraisal, learning"
Sr. Manager,Mumbai,,Procurement & Purchase Department,5 Jul 2021,5.0,5.0,5.0,3.0,5.0,5.0,4.0,Freedom to work,Nothing
Senior Engineer,Chennai,,Software Development Department,2 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,management is very poor,sallery problem in 2year expireance
Technician,Rewa,,,7 Sep 2021,3.0,3.0,3.0,2.0,1.0,1.0,1.0,"Job security is high, good place to work and learn new things",Career growth is too slow
Diploma Trainee,Nashik,,,7 Apr 2021,4.0,5.0,5.0,3.0,4.0,5.0,2.0,Very good Company,Good company Mahindra and Mahindra Ltd
Customer Service Executive,Mohali,,SCM & Logistics Department,3 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing special as of now they just give me half my salary and nothing else still hoping they will support later .Now am working because of my boss only,From our dealer they hv no assurance for their collegue and no insurance policy nothing to support that what I deslike
Branch Manager,Shillong,,Showroom Department,1 Oct 2020,4.0,4.0,5.0,2.0,2.0,2.0,3.0,I love in my mahindra company and full  satisfaction . I love my work,Canteen problem . Food
Technician,Seyyar  MVDC,,Production & Manufacturing Department,5 Feb 2021,3.0,3.0,4.0,4.0,3.0,5.0,4.0,,
Computer Operator,Maudaha,Full Time,1 Department,7 Aug 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13 year,Job security
Senior Accounts Executive,Mohali,Full Time,Accounting & Taxation Department,3 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,Very good
Deputy Manager Store,Mohali,,Stores & Material Management Department,9 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good working culture,Yes
Branch Manager,Latur,,,2 Sep 2021,4.0,4.0,4.0,3.0,3.0,3.0,4.0,Yes,It's a good exposure at this company especially team support and travel to places learned a lot and added a good experience
Graduate Engineer Trainee,New Delhi,,Construction / Manufacturing Department,0 Mar 2019,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Job security,Learning atmosphere
Assistant Manager,Nasik,,"Operations, Maintenance & Support Department",4 Jan 2019,4.0,3.0,4.0,4.0,3.0,4.0,3.0,Work life balance,Company policies
Senior Manager,Zaheerabad Plant,,Construction / Manufacturing Department,5 Jun 2021,3.0,3.0,4.0,4.0,3.0,3.0,3.0,No team work,It's good. Company is good
Assistant Manager/manager-(nontechnical),Pune,,,6 Apr 2021,5.0,5.0,3.0,5.0,5.0,5.0,2.0,Not much technical work,Best for learn and earn. Forget about job security.
Diploma Engineer Trainee,Nashik,,Tool and die plant Department,6 May 2021,4.0,3.0,4.0,4.0,1.0,1.0,1.0,Poor career opertunity. No job security. Can survive only if you are a flatterer.,People working there
Associate,Kandivali,,Banking Operations Department,6 Aug 2019,1.0,2.0,2.0,1.0,2.0,2.0,1.0,Everything,
Cluster Incharge,Guna,Full Time,Construction Engineering Department,0 Jun 2021,5.0,4.0,4.0,5.0,5.0,5.0,5.0,Very good my team work and I always had support of my senior,Good management
Manager,Mumbai,Full Time,Legal Operations Department,7 Jun 2021,4.0,5.0,5.0,4.0,5.0,5.0,5.0,Good opportunity and lifetime experience,Nothing
