Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Assistant General Manager,"Kanpur, Uttar Pradesh",Full Time,Marketing Department,9 Jul 2023,5.0,4.0,3.0,4.0,4.0,4.0,4.0,"Company is really good , Only if he has to start evaluating Vertical growth timely then he will be more efficient organization.",Timely appraisal not their and perception and person based influence more.
Deputy Manager,"Pune, Maharashtra",Full Time,Retail & B2C Sales Department,9 Jul 2023,5.0,5.0,5.0,3.0,5.0,4.0,4.0,"1)Work like a MNC ,Saturday and Sunday Off .
2)Every division Employee work with joint  market working.
3)Every year company gives some Money in the time of diwali for special Sweets And For celebration.","# TA DA Norms 
#Upcountry Market Food Allowances.
#No Manegarial Work."
Assistant Manager,"New Delhi, Delhi",Full Time,Sales Support & Operations Department,2 Jul 2023,5.0,5.0,1.0,5.0,1.0,5.0,1.0,Great but official environment not good,Seniors always do their own work and never motivate their subordinates and always work for themselves and impose their failure on their subordinates.
Senior Executive,"Siliguri, West Bengal",Full Time,Retail & B2C Sales Department,8 Jun 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Work culture environment & learnings of various things like sap & others,Deduction in ctc.. Ctc is very high but net salary is very low
Sales & Marketing,Mumbai,Full Time,Marketing Department,5 Aug 2023,2.0,2.0,1.0,3.0,2.0,3.0,2.0,"1. Large well known Indian Corporate
2. Good budgets for Marketing Spends
3. Overall job exposure","1. Office space is too cramped. No parking facility. 
2. Work culture is not good
3. High Work pressure at all times
4. Payment terms to vendor very poor
5. No initiatives taken for employee engagement
6. Timings are strict; no option for WFH or flexi"
Sr Manager,"Amritsar, Punjab",Full Time,Sales Support & Operations Department,4 Jun 2023,5.0,3.0,3.0,5.0,2.0,4.0,3.0,Havells is one of best company to work except Greater Punjab area as due to partial behaviour of some of top officials,Partial behaviour of some of top officials
Dy. Manager Store And Dispatch,Neemrana,Full Time,SCM & Logistics Department,1 Jun 2023,3.0,4.0,2.0,3.0,2.0,3.0,3.0,"Infrastructure is good. 
People are supporting ( vary plant to plant ).
HR policies are clear. 
Salary on time.
Appraisal on time.","In store department growth is very limited. 
If you are a well educated person than avoid store and dispatch departments. 
Company culture is average. 
Job security is not good."
Store Incharge,Neemrana,Contractual,"BFSI, Investments & Trading Department",7 Jun 2023,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Canteen facilities not good for worker canteen not clean .and staff canteen and canteen facilities available good food and clean all time hr not good,Likes havells has good brand I was worked in havells galaxy and lighting showroom.
Counter Salesman,"Pune, Maharashtra",Full Time,Retail Store Operations Department,6 Jun 2023,3.0,4.0,3.0,3.0,4.0,4.0,4.0,Diskes because some customer said havells rates very expensive and same product other outlet rates different.,"Great place for learning new things.
Project oriented learning which is beneficial for self growth.
Friendly and positive workplace environment."
Assistant Manager,"Neemrana, Rajasthan",Full Time,Production & Manufacturing Department,6 Jul 2023,3.0,5.0,5.0,3.0,3.0,3.0,3.0,"Worst employee benefits...
Salary structure is messed up...
Typical baniya culture while salary negotiations by HR department...
No technical training programs organised for employees.",
Joint General Manager Product Marketing,Noida,Full Time,Marketing Department,0 Aug 2023,4.0,2.0,2.0,4.0,3.0,4.0,4.0,Culture,"No training 
No skill development
Disturbed work life balance
Unnecessary pressure 
Favouritism
Redtapism
Top management is not aware what is happening at Branches
Reporting Managers bullies"
Senior Sales Executive,"Kozhikode, Kerala",Full Time,Marketing Department,3 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good culture and great place to work,Nothing disliked.
Manager Sap Mm,Noida,Full Time,IT Consulting Department,2 Sep 2023,5.0,4.0,5.0,5.0,5.0,5.0,4.0,Good place to work if you are workohalic,No dislikes
Demonstrator,Noida,Full Time,Marketing Department,2 Sep 2023,4.0,4.0,5.0,3.0,1.0,4.0,1.0,Much better product quality & timely salary received,The behavior of senior employees is not very good for the lower employees.
Assistant General Manager- Quality Assurance,Neemrana,Full Time,Quality control  Department,1 Sep 2023,4.0,4.0,4.0,4.0,4.0,3.0,5.0,"Reward & Recognition for good work, work freedom.",Work life balance
Area Sales Manager,"Jabalpur, Madhya Pradesh",Full Time,"Trading, Asset & Wealth Management Department",1 Sep 2023,5.0,4.0,4.0,5.0,5.0,5.0,4.0,Hr policy and work culture,Nothing
Senior Manager,"Sri City, Andhra Pradesh",Full Time,"Operations, Maintenance & Support Department",1 Sep 2023,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Implementation and innovation of new technologies.,"If, punching miss payment will be deducting."
Line Leader,Ghiloth,Full Time,Management Department,1 Sep 2023,3.0,3.0,5.0,4.0,1.0,1.0,4.0,Nothing,"Salary not increase, management behavior bad, toilet very bad, job not secure"
Deploma Enginner Interrn,Haridwar,Full Time,Production & Manufacturing Department,1 Sep 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,All are good,Salary is not good as compared to the job
Diploma Engineer Trainee,"Neemrana, Rajasthan",Full Time,Quality control and assurance Department,1 Sep 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Nature of department and top management,Nothing
Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Engineering & Manufacturing Department,1 Sep 2023,2.0,4.0,1.0,1.0,3.0,2.0,2.0,Nothing much,"Project timelines, learning to be developed, Hybrid work culture is required"
Sales Executive,Noida,Full Time,Enterprise & B2B Sales Department,1 Sep 2023,1.0,2.0,5.0,1.0,1.0,3.0,1.0,Customer satisfaction,"Low salary ,no increment"
Isp Promoter,"New Delhi, Delhi",Full Time,Sales Support & Operations Department,1 Sep 2023,5.0,4.0,5.0,3.0,4.0,5.0,3.0,Like  company culture is very good,All wave good but no promotion this company
