Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Salesman,Lucknow,Full Time,Retail & B2C Sales Department,8 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Usha is big brand,Usha is big brand
Long Arm Sales Man,Azamgarh,Full Time,,4 Dec 2020,3.0,2.0,2.0,2.0,2.0,2.0,1.0,Marketing,"Usha is best organization
Work from home is best think in lockdown period"
Lasm,Ghaziabad,,,1 Nov 2018,3.0,3.0,3.0,2.0,2.0,3.0,2.0,Nothing,Support from management
Sles Executive,,,,5 May 2019,5.0,4.0,4.0,4.0,3.0,5.0,2.0,Nothing,Sales and trainer
Sales Executive,Prayagraj,,IT Network Department,1 Sep 2020,5.0,4.0,4.0,4.0,3.0,5.0,2.0,No disk like but salary not growth,Good for learning and Skill development.
Sales Manager,Hyderabad,,,1 Mar 2019,5.0,5.0,5.0,5.0,4.0,4.0,4.0,HR is very humble,"Boss, he is very authoritative"
Marketing,Patna Bihar,,,2 Nov 2020,1.0,5.0,5.0,5.0,4.0,4.0,4.0,"They support me, company gave my March salary timely",Job security is nil for new joinees because company appoints joinees as temporary workers not parmanent and this is very lossable for him specially in this time (covid 19)
Territory Manager,Patna,,Enterprise & B2B Sales Department,6 Nov 2020,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,
PIC Product Sales Manager,Gurgaon,,Marketing Department,0 Oct 2020,3.0,3.0,5.0,3.0,3.0,3.0,3.0,,
Sales,Lucknow,,Counter Sale Department,9 Jul 2020,5.0,3.0,3.0,2.0,5.0,3.0,4.0,,
,,,,,,4.0,4.0,5.0,2.0,4.0,3.0,,
Territory Manager,Jodhpur,,,5 Mar 2020,4.0,4.0,3.0,5.0,5.0,4.0,5.0,"I learn a lot in Usha international ltd .
It’s like an institution where you can learn about everything of channel sales , strategies . Also it depends upon your boss also , I was lucky that I worked under a true leader .","There is nothing that I disliked . 
It depends upon you how you adjust to the circumstances"
Executive,Gurugram,,Operations Support Department,9 Jun 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Its really amazing experience working with UIL..,Nothing..
Crm/customer Service Manager,Deoria Up,,nothing Department,7 Mar 2021,5.0,4.0,3.0,3.0,5.0,3.0,5.0,It is matter of pride to work in Usha international ltdIhave,"I have worked for two years at Usha international ltd,on the service center CRM.
the service that we used to provide to the customer was not correct."
Promoter,Gomti Nagar Lucknow,,Import & Export Department,4 Jul 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Q ki wha pr team work hota tha,Mughe pasand tha lekin team ko hata diya gya tha
Tm,Mumbai,,BD / Pre Sales Department,2 Apr 2019,1.0,2.0,1.0,3.0,2.0,2.0,2.0,Brand name,Working culture. No market support .
UJ Promoter,Udaipur,,Marketing Department,0 Oct 2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good,Yes
Electrician,Alwar,,Electrical Department,1 Oct 2020,3.0,3.0,3.0,3.0,3.0,3.0,3.0,No,Good
L A S M,Gaziabaad,,,3 Aug 2020,4.0,3.0,4.0,3.0,4.0,4.0,4.0,Something,No comments
Deputy Regional Manager,"Gurgaon/Gurugram, Haryana",,,8 May 2022,1.0,1.0,3.0,2.0,1.0,1.0,1.0,No employees caring,Sale pressure & force to sale otherwise get out
State Sales Head,Goregaon,,Retail & B2C Sales Department,4 Mar 2022,4.0,3.0,3.0,2.0,2.0,4.0,2.0,National head no vision,
Territory Sales Incharge,Lucknow,Full Time,,8 May 2021,5.0,5.0,5.0,3.0,4.0,3.0,2.0,Overall good,Manupullation
Quality Controller,Baddi,Full Time,Quality Department,7 Jul 2020,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Full salary,Nothing
Marketing Executive,Theni,,Marketing Department,5 Nov 2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good company and excellent service,No
Sales Executive,,,,2 Mar 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Hdjdbdndnndndndn,"Pl don't join usha International Limited company, cause nothing is balanced due to upper management, no one thinking about you, you are die or live...everything okey for other department..  Pl don't join sales team, also hr policy is not good, they don't have power, to do something for you.."
Territory Sales Manager,Gujrat,,BD / Pre Sales Department,1 Feb 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work,Good work
Usha International Lid,Gwalior,,Sales & Marketing Department,8 Dec 2020,5.0,1.0,1.0,2.0,1.0,1.0,1.0,Work Life Balance,Slow process
Assistant General Manager -sales,Gurgaon Head Office,,Top Management Department,2 Oct 2020,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Company policies,Rm and gm in  auto parts dont sport
Territory Manager,Nagpur,,Marketing Department,7 May 2022,5.0,5.0,4.0,4.0,4.0,4.0,3.0,"The company is open to innovation and readily adopts latest technology. I love the fact that I am a part of a team that markets reliable, high quality products and has a global client base. Another plus point is that my colleagues come from various cultural backgrounds, and we work happily in collaboration.","Compensation is decent, but growth is slow."
Sales Executive,,,,7 Oct 2019,5.0,4.0,5.0,3.0,3.0,5.0,3.0,,
Inshop Sales Promoter,Kolkata,,Isp Department,1 Oct 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
Sr. Sales Manager,Chennai,Full Time,Marketing Department,3 Jan 2020,2.0,2.0,1.0,1.0,1.0,1.0,1.0,Cafe,"Poor policy,
Owner managed
Cannot take decisions even if has to move a sheet of paper 
Worst HR.
Most managers are not qualified hence qualified pro cannot match or the veterans can never catch up to pace."
Gurugram,Gurugram,Full Time,Commercial Department,7 Jun 2020,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Work from home,no
Tsm,Gwalior,Full Time,,6 Nov 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,why do i see my future in usha company.i will be a very lucky that i get a chance to work in your company,i thing company never get bad .employ does not work properly so the company is bad for that but' if u work right .so you are importance for tha company
Marketing Executive,Gzb,,RBD Department,1 Jan 2021,2.0,4.0,4.0,2.0,2.0,4.0,4.0,Good work,Hindi
UJ PRAMOTAR,Lucknow,,Sewing Machine Department,5 Nov 2020,5.0,4.0,4.0,4.0,5.0,5.0,5.0,All employe a good behaviour,Time to time salary
Service Incharge,Patna,,"Operations, Maintenance & Support Department",8 Apr 2021,3.0,1.0,3.0,1.0,2.0,1.0,1.0,Average,Nothing
Territory Manager,Lucknow,,Enterprise & B2B Sales Department,8 Mar 2020,4.0,5.0,4.0,3.0,5.0,4.0,3.0,On the job training. Employee friendly,Bossism
Account Officer,Ghaziabad,,Accounting & Taxation Department,5 May 2022,3.0,4.0,4.0,3.0,4.0,1.0,4.0,Lot of learning.,"Senior run own way, while it must be aligned with co. policies. Lot of ego issue and rumours  spread about any person. HR Just silent and not take ownership if something not going good for co."
Inshop Sales Promoter,Kolkata,,,0 Apr 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Training, working timeg",Salary credit not time to time
Sales Coordinator,Jalandhar,,Marketing Department,8 Sep 2019,5.0,4.0,5.0,4.0,4.0,4.0,4.0,Training creteria is nice. Job security is good.Learning experience & salary /appraisal  is also good because company doing a Training session to provide a good knowledge about products..,I want company provide a very less training session in the year.
Company Driver,Gurgaon/Gurugram,,,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best time and best sellary behavior is to good so I like it,I want to doing the job again this company
Area Sales Manager,Delhi NCR,,Enterprise & B2B Sales Department,0 Nov 2019,4.0,1.0,3.0,3.0,3.0,4.0,4.0,Usha ltd is an Good work environment company it is my dream group I wanna also working with usha group,"Work life balance is not good, the work pressure is very high working period tuff also"
Civil Site Engineer,Dehradun,,Construction Engineering Department,7 Sep 2019,4.0,4.0,2.0,3.0,4.0,4.0,4.0,According  to work,Usha
Territory Manager,Jodhpur,,,6 Aug 2021,4.0,4.0,5.0,4.0,5.0,4.0,4.0,"Usha International is not only a organisation , it's a institute . I enjoyed & learned a lot while  working here .",the allowances are not enough .
Territory Manager,Raipur,,Enterprise & B2B Sales Department,1 Dec 2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,HR policies,RM Behaviour very very bad
Sales Executive,Delhi,,SCM & Logistics Department,5 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Great work environment . supportive team members. good management .they give normal salary,There is some issues like career growth is very slow and lot of politics and management doesn’t address out issues
Sales Manager,Mumbai,,,1 Oct 2019,3.0,4.0,2.0,4.0,2.0,5.0,2.0,"The work culture and Work life balance is good, Perks and benefit are good","In my tenure, I didnt like the management ideology and there is no quick action /support from seniors"
