Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Deputy Manager,Indore,Full Time,BD / Pre Sales Department,7 May 2022,5.0,5.0,3.0,3.0,4.0,3.0,3.0,Right now no words to describe.,There is nothing to dislike.
Senior Territory Service Executive,"Sri Ganganagar, Rajasthan",Full Time,,4 Sep 2022,5.0,5.0,5.0,4.0,5.0,4.0,4.0,All things are good,Nothing
Senior Executive Production Planning And Control,Ranjangaon,Full Time,"Operations, Maintenance & Support Department",7 May 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Plz don't go with whirlpool,it is wastage of time and money",Hr is the 3 rd class person
Hardware Design Engineer,Pune,,Engineering & Manufacturing Department,5 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Flexible work,Nothing to dislike
Sales Executive,Mumbai,,,6 May 2022,5.0,1.0,4.0,4.0,1.0,1.0,1.0,Whirlpool is a good company  but not career in a whirlpoorl company,I have did many jobs but the environment which i got here. I have never get that environment somewhere else.
Premium Inbound Associate,Noida,,Premium Desk Department,2 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,The staff is too polite here polite here.,"Brand Equity
Team Bond"
Deputy Manager,Kolkata,,,6 Nov 2022,3.0,3.0,3.0,2.0,4.0,3.0,3.0,"Groupism.
Management.",Brand name
Senior Finance Manage,Gurgaon,,Finance Department,2 Jun 2022,5.0,3.0,3.0,2.0,3.0,3.0,3.0,Low compensation and work culture,Bonus payout
SME Global Finance Center,Gurgaon/Gurugram,,Business Intelligence & Analytics Department,9 Apr 2022,2.0,1.0,3.0,3.0,2.0,1.0,2.0,"Culture, work like balance, no pickup, almost everything",
Area Sales Manager,Guwahati,Full Time,Retail & B2C Sales Department,7 Oct 2022,4.0,4.0,3.0,3.0,2.0,4.0,2.0,Work Culture,Opportunities and remuneration
Sales Executive,Kolkata,Full Time,Marketing Department,4 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Good work environment and culture. Teammates are supportive and the management is transparent.  Company policies ar good .,Salary is decent but career growth is slow.
Senior Manager,Gurgaon/Gurugram,Contractual,,9 Dec 2022,5.0,5.0,3.0,4.0,5.0,5.0,5.0,"Great place to work in, supportive colleagues and working environment",Work environment is very suitable. Salaries always on time..
Mis Executive,"Gurgaon/Gurugram, Haryana",Full Time,Sales Support & Operations Department,9 Jul 2023,5.0,5.0,5.0,3.0,5.0,5.0,2.0,They Do not pramote the off role peoples,"Job security is very good. Even if projects are not there you are moved to other departments and not layed off. Diversification in multiple products helps here. 
Work culture is great. HRs are very friendly. Managers are also good. New gen of mangers are very good and helps you to understand and develop.
Management overall is good. They eye for future prospects, growth and innovation.
Company policies are good. Flexible work time. WFH option is also there. Travel options are lot. Learning is very good. You get to learn end to end product development with core engineering skills....Read More"
Global Project Engineer,Pune,Full Time,,9 Aug 2021,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Career growth is a bit slow. Salary is not that competitive.  T-gang dominates leadership position and nurtures and supports only their people. This is changing but it is very slow.,company policies
Branch Commercial Manager,Hubli,,Accounting & Taxation Department,6 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,delight company with healping,no support from asm an team leader
Sales Executive,Bengaluru/Bangalore,,Accounting & Taxation Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,the employees are very bad treating neem trainees.. they give more work and less salary.. engineer students not suitable working here as a neem platform.,very low salary for neem trainees.. they are very wost to treating engineer trainee. no more different between iti and engineering trainees.. employee operator have very wost behavior.
Neem Trainee,Pondicherry,,Engineering Department,7 Nov 2019,1.0,1.0,3.0,1.0,1.0,1.0,1.0,Whirlpool company is all friendly  working,Likes this job whirlpool of India Ltd my best company
Sales    (working remotely),,,Seals Department,4 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great work culture & work life balance.,Less chances for skill development & innovation.
Hardware Design Engineer,Pune,,Engineering & Manufacturing Department,0 Apr 2022,4.0,5.0,3.0,4.0,4.0,5.0,3.0,,
Senior Manager Finance,Gurgaon,Full Time,Finance Department,2 Feb 2022,4.0,5.0,4.0,4.0,5.0,5.0,3.0,"Work Culture, Company polices, Job security & learning",Limited career growth opprtunity within finance beyond Senior Manager
Area Sales Manager,Jalandhar,Full Time,Enterprise & B2B Sales Department,9 Jan 2022,5.0,4.0,4.0,4.0,4.0,5.0,4.0,"Team work , perks and benefits , work culture , employee first ... these are some of the best things a company could have ... and it is present in whirlpool.",Working culture is gud .
Mechanical Engineer,Faridabad,Full Time,"Operations, Maintenance & Support Department",9 Jun 2022,4.0,3.0,4.0,3.0,4.0,3.0,4.0,Union some isuue,Senior are very polite behavior
Retail Sales Executive,Patna,Full Time,Back Office Department,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Opportunity of high level is negotiable,"Job security is good, Work culture is very excellent and company policy is the  best."
Trainee,Ranjangaon MIDC,Contractual,wcm Department,8 Apr 2022,3.0,3.0,5.0,3.0,5.0,5.0,4.0,salary growth is very slow.,Job security and financial freedom
Retail Sales Executive,Malappuram,,,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like this opportunity of my job,All good
Engineer,Gurgaon/Gurugram,,Procurement & Purchase Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Dislike is nothing there,Best MNC company in Pondicherry
Process Quality - Trainee,Puducherry/Pondicherry,,,4 May 2022,5.0,1.0,2.0,1.0,1.0,3.0,1.0,"There won't be any career growth for educated persons,many uneducated people's will be working and we can't learn what we needed,they will treat us as an slaves.",Customer service
Service Engineer,"Dehradun, Uttarakhand",,After Sales Service & Repair Department,4 Feb 2023,2.0,3.0,2.0,2.0,1.0,2.0,2.0,Ruller area works no secuart,That company was very good
Seles Executive,Arche Water Building. Saltlake,,Top Management Department,4 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Because low salary,
Retail Executive,Delisle Road,Full Time,,2 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good,All is good
Branch Commercial Manager,Raipur,Full Time,,7 Aug 2022,5.0,4.0,4.0,3.0,4.0,4.0,4.0,strong management,CTC
Catalog Associate,Gurgaon/Gurugram,Full Time,,9 Mar 2022,5.0,4.0,4.0,5.0,5.0,4.0,3.0,They give good salary and job security.,There are no career growth in this company
Retail Ex,"Bengaluru/Bangalore, Karnataka",Full Time,,2 Jan 2023,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Good organisation to work,Nothing
Area Sales Manager,Dehradun,Full Time,Enterprise & B2B Sales Department,7 Apr 2022,5.0,3.0,5.0,3.0,3.0,4.0,4.0,Good working culture and employe friendly company,Perks is less over here
Engineering Manager,Pune Kharadi,Full Time,Software Development Department,7 Jun 2022,4.0,3.0,4.0,3.0,5.0,3.0,2.0,Job Security,Company need to focus on work life balance considering new office site Kharadi
Manager Field And Inhouse Service Operations,Delhi,,,9 Nov 2022,3.0,2.0,2.0,1.0,2.0,4.0,1.0,Culture good,no system...poor appraisal
Degree Bcom,Vijayawada,,Teamleader Department,2 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's a good company policy for employees this who are done great job definitely they will grow in this company,Stock availability is very low
Senior Area Sales Executive,Vijayawada,,BD / Pre Sales Department,6 May 2022,4.0,5.0,4.0,4.0,5.0,5.0,5.0,"Good place to work, with ethical values. Only issue is no HR coordination with employees","No HR feedbacks, unwanted and unorganized decisions at branch level"
Electrical Engineer,Faridabad,,Manufacturing Department,9 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,culture of whirlpool FRO is best  compare  then other home appliance organization,No value of internal off role white coaler employee
Area Service Manager,Cochin,Full Time,Operations Department,8 May 2022,5.0,3.0,5.0,4.0,3.0,4.0,4.0,Good working experiance and learning,Nothing
Harness Design Engineer,Pune,Full Time,Engineering & Manufacturing Department,4 Aug 2021,4.0,5.0,5.0,3.0,4.0,4.0,4.0,"- A very good platform to grow product and process knowledge. 
- Whirlpool values are respected all the employees and it makes whirlpool a great workplace","Compensation improvememt and respective policies need improvement. Employees are not paid as per thier experience or expertize. If someone joined for less package at the early stages of career, he has to carry it throughout his whirlpool career."
Ranjangaon MIDC,P Faridabad,Full Time,Production Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment and  culture Teammates are supportive and the  manegement is transparent,Great place to work.
Deputy Manager,Patna,Full Time,,4 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing to dislike things,"Whirlpool is a well recommended company to work for, work life balance is excellent."
Branch Manager,Gurgaon,,Retail & B2C Sales Department,8 Mar 2022,4.0,5.0,4.0,3.0,5.0,4.0,4.0,Company should look more into the compensation factor as it’s competition companies have done which is making the toxic environment for whirlpool employee when he compares his salary.,"Very healthy environment for working person,Supportive staff...All is well...Im fully satification."
