Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Production Engineer,"Ahmedabad, Gujarat",Part Time,Production & Manufacturing Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It is very good thing making and it is name on all india.I am interested in bajaj electrical job.,No
Team Manager,Mumbai,Full Time,SCM & Logistics Department,4 Sep 2023,5.0,5.0,3.0,5.0,5.0,4.0,4.0,Work life balance,Portfolio management
Lebor   (working remotely),,Part Time,Other Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All electrical repairing and waring,"No 3fg
Only side"
Warehouse Manager,"Patna, Bihar",Full Time,SCM & Logistics Department,1 Sep 2023,5.0,4.0,5.0,5.0,4.0,5.0,5.0,Its good to work here...,Nothing ....as time changes and work.pressure is same for all the companies.
General Manager & Regional Manager,Mumbai,Full Time,Enterprise & B2B Sales Department,1 Sep 2023,4.0,4.0,5.0,5.0,4.0,4.0,5.0,"Loved to work in this company, excellent platform to excel your skills.",Nothing as such
Manager -logistics,"Chennai, Tamil Nadu",Full Time,SCM & Logistics Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,BEL is an good company and also treating well,Nothing
Territory Sales Incharge,"Lucknow, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,9 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,"I have worked with Bajaj approx 3.5 years. Product quality is very poor, after sales service is very poor. My Customer is not satisfied with Bajaj. So I left Bajaj."
Manager,Mumbai,Full Time,Professional lighting Department,2 Sep 2023,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Well reputed brand with lots of opportunities and professional culture,Pressure of working while a employee is on leave.
Territory Head,Mumbai,Full Time,Retail & B2C Sales Department,9 Aug 2023,4.0,4.0,5.0,3.0,4.0,4.0,3.0,HR policy and IT is good,Not much scope for promotion and increment
Dso,"Birbhum, West Bengal",Full Time,Enterprise & B2B Sales Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"Because all criteria is good and company profile is good ,
Work satification",Company promotion is so late
