Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Team Manager,Gurugram,Full Time,Other Department,4 Aug 2023,3.0,3.0,2.0,3.0,5.0,2.0,2.0,"Job Security
Variable Salary
Medical Benefits","Cast and region groupism
Incompetent leadership
Access group Politics driven by vertical leaders"
Maruti Suzuki Imt Manesar,Manesar,Full Time,Engineering Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1.treat everyone equally.
2.After seeing the work of the boys after 7 months, this company gives them a chance to become permanent.","It should be increased from 7 months to at least 1 year so that even if the person is not able to clear the permanent test, he can start his own small business."
Production Engineer,Manesar,Full Time,"Operations, Maintenance & Support Department",2 Aug 2023,2.0,1.0,2.0,3.0,4.0,1.0,2.0,Job security,"poor work culture,
cheap politics
no work life balance
bad work environment
micro management by managers
non existent HR
no scope for Internal Department/job changing
high stress on employees."
Deputy Manager,Gurgaon/Gurugram,Full Time,Engineering Department,1 Aug 2023,3.0,3.0,1.0,5.0,5.0,1.0,3.0,1. Employment benefits,"1. Policies related to promotions
2. Power concentration
3. Rigid mindset
4. Paperwork
5. Favoritism (mostly from a specific college)
6. Nearly no growth of lateral employees"
Deputy Manager,New Delhi,Full Time,Retail & B2C Sales Department,6 Aug 2023,3.0,1.0,3.0,3.0,5.0,1.0,3.0,"Good start for career
Respectable job","Work life balance
Criteria for choosing bosses at position of responsibility 
Too much pressure on sales teams
Uneven work distribution"
Asst. Mgr (Engine Assembly),"Gurgaon/Gurugram, Haryana",Full Time,Production Department,1 Aug 2023,4.0,4.0,4.0,4.0,2.0,4.0,3.0,"I had passion for automobiles and there was no other choice in India in 1986. The revolution in technology upgradation was only in Maruti, a lot of industry upgraded with Maruti.","Career, wages and no job security."
Quality Inspector,Gurgaon/Gurugram,Contractual,Casting Department,7 Aug 2023,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Work is very simple but responsible. The workplace culture is very friendly. Our super visor and seniors very helpful he treated people's like a frend.,No dislikes
Deputy Manager,Gurgaon/Gurugram,Full Time,SCM & Logistics Department,0 Aug 2023,1.0,1.0,1.0,4.0,4.0,1.0,1.0,Im not happy with the culture,"Hirarchy of employees..Staff gives importance only to old people but not to new peoples.
Sharing of knowledge to their own employees is not being done."
Assistant Manager,Gurgaon/Gurugram,Full Time,Supply chain Department,9 Aug 2023,3.0,1.0,2.0,4.0,4.0,1.0,4.0,Compensation is good part which MSIL gives to it's employees. Also the company location is another good part.,The work culture and environment is worst. There is no respect of individual and the boss nature will make your life hell. The long sitting g hours will make you feel like you are very low paid.
Automobile Technician,Gurgaon/Gurugram,Full Time,Paint shop Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I am very happy working in maruti suzuki company, elder brother and supervisor are very good i respected them...in return i tried my best to take the company forward",Maruti Suzuki India Pvt Ltd is good company but 7 month contract very bad prosses.
Computer Operator,"Ongole, Andhra Pradesh",Full Time,Front Office & Guest Services Department,5 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,The branch where I worked was a wrong place fr any hardworker.,"Every section officer discourages, nd tries to judge anybody fr no reason."
Machine Operator,"Gurgaon/Gurugram, Haryana",Full Time,Production & Manufacturing Department,5 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"WORKING CONFIDENCE, IT IS THE GOOD COMPANY IN VEHICLE MANUFACTURE IN THE WORLD,THIS JOB IS","Yes Sir culture is quite high. Reasonably good pay, average work culture, free lunches and good social security benefits is a big plus."
Deputy Manager,Gurgaon/Gurugram,Full Time,Other Department,5 Aug 2023,3.0,1.0,2.0,3.0,5.0,1.0,4.0,Job security,Worst work culture and work life balance and cheap politics of rotten mindsets of sebiors that spoil junior's career
Technician Trainee,Gurgaon/Gurugram,Contractual,"Operations, Maintenance & Support Department",4 Aug 2023,4.0,1.0,5.0,5.0,1.0,4.0,1.0,"I am very happy working in maruti suzuki company, elder brother and supervisor are very good i respected them...in return i tried my best to take the company forward",Maruti Suzuki India Pvt Ltd is good company but 7 month contract very bad prosses.
Car Stylist,"Dehradun, Uttarakhand",Full Time,Advertising & Creative Department,3 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Nothing, non professional staff, politics, brainless management, no career growth","Wrost dearlship, non professional staff, brainless management"
Engineer,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,3 Aug 2023,4.0,4.0,5.0,5.0,5.0,4.0,3.0,"Good Salary benefits and incentives.
More number of holidays.
Great supportive team.",Promotions are not fair.
Deputy Manager,Manesar,Full Time,Engineering Department,3 Aug 2023,3.0,2.0,3.0,4.0,5.0,2.0,3.0,"1. Learning at initial stage
2. Dealing with different domestic, foreign vendor
3. Uniform, same canteen
4. Pay scale difference between the top most and the bottom most employee is 12times... unlike IT company where it's 170 times.","1. Bureaucratic culture
2. No work life balance in some departments
3. Very minimalistic resource per project leads to undue pressure.
4. Employee comes second, first is profit 
5. No transparency in end of year ratings
6. Non existent HR."
Electrical Get,Gurgaon/Gurugram,Full Time,"Operations, Maintenance & Support Department",3 Aug 2023,3.0,2.0,4.0,3.0,4.0,5.0,2.0,You get a lot of exposure. You will having good time with seniors. Also the canteen food is like ghar ka khana.... Not too oily or spicy... U will be getting snacks twice... Overall life at msil is good but as u responsibilities will increase and also the workload.,Nothing much...... U will get a decent environment to work..
Casual Worker,Gurgaon/Gurugram,Contractual,Management Department,2 Aug 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0,"Special care is taken of time in Maruti Suzuki India Limited Company, which I liked very much.",Casual employee did not get to write suggestion
Engineer,Gurgaon/Gurugram,Full Time,Engineering Department,0 Jul 2023,3.0,1.0,2.0,4.0,5.0,1.0,3.0,Job is secure. Promotions are regular.,"Once you join the company, you're no longer in a human being. You become a emotionless machine."
Maintenance Engineer,New Delhi,Full Time,MAINTENANCE DEPARTMENT  Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I like there working environment and all team members. This is my first job experience and i got to learn a lot. The meal, gift and there allowance given by Maruti Suzuki is very good.","One year contract is very bad thought and there supervisor and seniors Those supervisors do not consider casual workers as team members, they just use them for their work. Almost does the work causal person but takes credit supervisor and superiors."
Deputy Manager,"Manesar, Haryana",Full Time,Quality assurance  Department,9 Jul 2023,4.0,3.0,4.0,5.0,5.0,4.0,5.0,"Salary and compensation part is best , career growth is very promising.",Hectic work culture with long working hour.
Technician,Manesar,Contractual,"Operations, Maintenance & Support Department",9 Jul 2023,5.0,5.0,5.0,5.0,1.0,5.0,1.0,Company & company culture is good but job not secure here 😌 after duration period complete and they will terminated you from the  job 😌,The rule of after duration periods terminated you is so bad😌
Temporary Workman   (working remotely),,Contractual,Other Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Maruti suzuki company is best company in all india for the best opportunity ourb,Maruti Suzuki not to do work permanent workers only temporary type work
Assistant Manager,Gurgaon/Gurugram,Full Time,Research and development  Department,5 Jul 2023,4.0,3.0,4.0,4.0,4.0,3.0,3.0,Lot of things can be learned. Lunch is good at the company. One can learn from the basic without much prior experience in the same field.,"Strict timing. 
Leave is there but every leave will decrease your attendance percentage, that will impact in future, thus you cannot opt for many no of leaves. 
Long hours."
Sales,Gurgaon/Gurugram,Full Time,Sales Support & Operations Department,5 Jul 2023,5.0,4.0,3.0,4.0,5.0,4.0,3.0,"Over all good. 
Stable job. Learning starts seeming very dormant. Good for someone who wants a settled work life with not much of daily hassle.  Allow job rotation.",Promotion criteria lead to very slow promotions. Hike is also pretty nominal.
Territory Sales Manager,Pune,Full Time,Sales Support & Operations Department,6 Aug 2023,3.0,3.0,3.0,5.0,5.0,3.0,3.0,Job security and salary is at par with industry.,Getting a team lead role is really difficult in maruti. You don't get promotion even if you have a telent. There experience and age at times is given a priority over telent. Your colleague who is 1 year senior to you may be given a better grade just to promote him (eve. Though you both belongs to same group)
Car Technician,"Ahmedabad, Gujarat",Full Time,After Sales Service & Repair Department,4 Jul 2023,5.0,5.0,4.0,5.0,5.0,5.0,3.0,"Nice company ,and awesome company","Salary are not giving on time, random date to giving salary, after 50 days giving salary"
Supervisor Instructor,"Manesar Gurgaon/Gurugram, Haryana",Contractual,Production & Manufacturing Department,4 Aug 2023,5.0,5.0,5.0,5.0,2.0,5.0,5.0,"During job 
On the working time feel happy
No tention no accident
No work load no stress
Very nice behaviour of our seniors",Job contact signed should be minimum 3 years
Lathe Machine Operator,New Delhi,Full Time,"Operations, Maintenance & Support Department",2 Jul 2023,4.0,4.0,3.0,2.0,5.0,5.0,3.0,Companies atmosphere very friendly and senior s are very supportive. Company gives appraisal the staff time to time.,No future progress and no promotion to contract workers. And policy for regular employees for taking steps for permanent.
