Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Sr. QA QC Engineer In MEP Project,Mumbai,Full Time,Engineering Department,8 Sep 2023,5.0,5.0,4.0,3.0,5.0,4.0,2.0,Working environment is good,Increments ans growth are bit low
Executive,"Ahmedabad, Gujarat",Full Time,Engineering & Manufacturing Department,7 Sep 2023,3.0,3.0,2.0,1.0,4.0,4.0,1.0,Open to learn,"No roles and responsibilities defined for job role, anyone can do any work."
Electrical Get,"New Delhi, Delhi",Intern,Other Department,7 Sep 2023,4.0,4.0,3.0,3.0,5.0,3.0,2.0,"not much, i like aout company",too many dislikes about company
Manager Internal Audit,Mumbai,Full Time,Audit & Control Department,4 Sep 2023,4.0,5.0,4.0,4.0,4.0,4.0,4.0,"Work life balance , stress free",Judgemental and subjective approach
Rso,"Vijayawada, Andhra Pradesh",Full Time,Other Department,4 Sep 2023,4.0,4.0,5.0,3.0,4.0,5.0,4.0,Very nice work on the company,No
Territory Sales Incharge,"Ahmedabad, Gujarat",Full Time,Retail & B2C Sales Department,3 Sep 2023,4.0,5.0,3.0,5.0,4.0,4.0,4.0,Good atmosphere,Nothing to dislike all well
Engineer,"Sultanpur, Uttar Pradesh",Full Time,Engineering Department,2 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,It a very good organisation for working,It very good 👍
Mechanical Engineer,"Sundergarh, Odisha",Full Time,Engineering Department,2 Sep 2023,4.0,3.0,4.0,5.0,4.0,4.0,4.0,Working environment is good salary in time.,Jb security
Senior Sales Engineer,"Mumbai, Maharashtra",Full Time,BD / Pre Sales Department,1 Sep 2023,5.0,4.0,4.0,4.0,5.0,5.0,4.0,Work culture and working projects,Stable salary growth
Executive Engineer,"Visakhapatnam, Andhra Pradesh",Full Time,Sales Support & Operations Department,0 Aug 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Good  working place,Working time not flexible
Calling Agent,"Ludhiana, Punjab",Full Time,Other Department,9 Aug 2023,5.0,3.0,4.0,4.0,4.0,4.0,3.0,Work with voltas good experience,Manegement
Maneger,"Sangli, Maharashtra",Full Time,Customer Success Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes I have get good. Experience,I want to be improved my self for better future career
Manufacturing Executive,"Panvel, Maharashtra",Full Time,Management Department,6 Aug 2023,4.0,3.0,3.0,5.0,5.0,1.0,2.0,Voltas company is my career,Yes 👍i am interested in voltas company
Sr Engineer,Jamshedpur,Full Time,Construction / Manufacturing Department,4 Aug 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Good working environment,Not bad
Electrical Engineer,"Dubai, Dubai",Full Time,Construction Engineering Department,3 Aug 2023,5.0,4.0,5.0,4.0,5.0,5.0,3.0,Company culture is very good,Promotions are slow
Senior Engineer,"Bhubaneswar, Odisha",Full Time,Construction Engineering Department,1 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Working culture is awesome.,Nothing to dislike in voltas
Safety Executive,"Jajpur, Odisha",Contractual,Occupational Health & Safety Department,0 Aug 2023,5.0,4.0,4.0,3.0,4.0,4.0,3.0,Company ethics policy,Increment & promotion policy
Diploma Engineer Trainee In Production Department,"Sanand, Gujarat",Full Time,Engineering Department,7 Aug 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Nothing is good at this place,Nothing is good at this place
Engineer Trainee,"Hyderabad/Secunderabad, Telangana",Full Time,Engineering & Manufacturing Department,7 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,4.0,good company to start a career,high working hours
Executive,"Dehradun, Uttarakhand",Full Time,Engineering Department,8 Aug 2023,3.0,2.0,3.0,3.0,5.0,4.0,3.0,Job security,No job satisfaction
Receptionist Administrator,New Delhi,Full Time,Other Department,4 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,I like to work that's place people are good and very disciplined,Nothing
Safety Officer,Pune,Full Time,Occupational Health & Safety Department,2 Aug 2023,5.0,5.0,5.0,5.0,4.0,4.0,3.0,Work Satisfaction,Promotion & Appraisal
Hr Executive,Kolkata,Full Time,HR Operations Department,1 Aug 2023,3.0,4.0,3.0,2.0,5.0,4.0,3.0,"Culture, flexibility","Politics, financial growth"
Assistant Engineer,Mumbai,Full Time,Management Department,1 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Everything i will like,Nathing to dislike
Data Entry Operator,"Jaipur, Rajasthan",Full Time,Business Intelligence & Analytics Department,7 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good experience,Not too much
Facility Engineer,"Muscat, Muscat Governorate",Full Time,Other Department,7 Aug 2023,1.0,1.0,3.0,1.0,1.0,2.0,1.0,Nothing .if you like politics then choose this company to play,Disrespect to Tata group operations
Supervisor,Uttrakhand Pantnagar Sector 8,Full Time,Stores & Material Management Department,7 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,I enjoy working at voltas,There is no food facility in Voltas
Assistant Electronics Engineer,"Mumbai, Maharashtra",Contractual,Hardware Department,6 Aug 2023,4.0,4.0,2.0,3.0,3.0,4.0,2.0,Good work environment,Contractual employee difficult  to get permanent
Station Manager ( E&M),Kolkata,Full Time,Other Department,6 Aug 2023,5.0,5.0,4.0,5.0,5.0,4.0,5.0,Overall Good for your future,Nothing all is good...
Regional Hr Head,Kolkata,Full Time,HR Operations Department,6 Aug 2023,2.0,4.0,2.0,2.0,4.0,2.0,2.0,"Job security, TATA brand","Bureaucratic approach, lack of career movement"
Service Engineer,"Bikaner, Rajasthan",Full Time,"Investment Banking, Private Equity & VC Department",6 Aug 2023,5.0,2.0,5.0,2.0,2.0,3.0,1.0,Enjoy 😍😍😍 parfect work,", ok"
Sales Manager,Bangalore/Bengaluru,Full Time,Sales Support & Operations Department,6 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,The culture good atmosphere,Nothing
Site Supervisor,Jamshedpur,Full Time,"Operations, Maintenance & Support Department",4 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Work culture & environment,Nothing..
Assistant Manager,"Gwalior, Madhya Pradesh",Full Time,Planning Department,4 Aug 2023,4.0,4.0,5.0,4.0,5.0,4.0,3.0,"Work life balance,skill development",Promotion
Stenographer,"Mumbai, Maharashtra",Full Time,Purchase Department Department,9 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Like the cooperation and team/department spirit. Loved the work atmosphere.,Nothing at all.
Branch Safety In-charge,Jamshedpur,Contractual,Occupational Health & Safety Department,9 Aug 2023,4.0,5.0,4.0,3.0,4.0,4.0,3.0,"Good work life balance, flexible working hours",Promotion & salary hike is very minimum
Assistant Manager,Ayodhya,Full Time,Construction Engineering Department,8 Aug 2023,4.0,4.0,3.0,5.0,4.0,4.0,3.0,Overall good organisation,Facilities not as per industry standard
Project Electrical Engineer,Mumbai,Full Time,Construction Engineering Department,2 Aug 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Likely working,Working time is not satisfactory
Line Leader   (working remotely),,Full Time,Production Department,7 Aug 2023,5.0,4.0,5.0,2.0,3.0,4.0,4.0,"Good workings,and knowledge",This company is not onearoll in New in B tech Engineering.studeand in out of interview.
Service Maintenance Supervisor   (working remotely),,Full Time,Other Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like to work hard in voltas,I like to work
Site Engineer,"Lucknow, Uttar Pradesh",Full Time,Construction Engineering Department,1 Jul 2023,5.0,5.0,3.0,3.0,5.0,4.0,3.0,Excellent organisation for long term.,Average salary and perks
Area Service Manager,Cochin,Full Time,Service Delivery Department,1 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing,"Internal politics
Tata code of conduct
Hr"
Service Engineer,"Nagpur, Maharashtra",Full Time,After Sales Service & Repair Department,0 Jul 2023,4.0,2.0,5.0,4.0,5.0,4.0,4.0,Good,As service Engineer required to Travel anywhere india.
Civil Engineer,"Sundergarh, Odisha",Full Time,Construction Engineering Department,9 Jul 2023,4.0,3.0,4.0,5.0,3.0,3.0,4.0,Salary & Benefits is very well.,Upper management system
Diploma Trainee Engineer,Ahmedabad,Full Time,Production Department,9 Jul 2023,5.0,1.0,5.0,1.0,2.0,3.0,1.0,I like for work voltas beko,No dislike
Maintenance Engineer,"Rudrapur, Uttarakhand",Full Time,"Operations, Maintenance & Support Department",9 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Voltas is safe and secure place for working there.,Work culturebbbbbas
