Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
"Finance Commercial Manager (Online, Traditional Trade & Export Business)","Gurgaon/Gurugram, Haryana",,Finance Department,4 Jun 2022,4.0,4.0,3.0,3.0,3.0,4.0,3.0,management Quality - No career path,
Operational Procurement Specialist,Pune,Full Time,Procurement & Purchase Department,4 Jun 2022,5.0,4.0,5.0,4.0,5.0,5.0,4.0,Job security,Work life balance should be maintained. Employees should be recognised as per work
Customer Service Executive,Orrisa,Full Time,Voice / Blended Department,4 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Such a excellent organization they are get chance to fresher and you can learn much more here , everyone supporttable",Very good company i like philips
Senior Domain Consultant -General Manager,"Kolkata, West Bengal",Full Time,Service Delivery Department,3 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,There is nothing which i can say,Work culture
Data Scientist,"Bengaluru/Bangalore, Karnataka",,Data Science & Machine Learning Department,8 Aug 2022,4.0,5.0,3.0,3.0,4.0,5.0,3.0,"Learning, pay structure, career development",Work-life balance is the main thing that attracts more.
Accountant,Mallappally,,Accounting & Taxation Department,8 Jul 2022,4.0,5.0,4.0,3.0,3.0,3.0,3.0,Salary hikes are not proper,Peers
Software Technologist 1,Bengaluru/Bangalore,,"Operations, Maintenance & Support Department",0 May 2023,2.0,3.0,1.0,1.0,1.0,1.0,1.0,Manager attitude selfish nature made me to quit,"Good work environment and culture. Teammates are supportive and the management is transparent. There are is a huge cafeteria and gaming acrade for chilling. Company policies are good, appraisals are fair and they give good salary."
Isd,Bareilly,,kitchen home appliances Department,5 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Salary is decent but career growth is slow.,Learning opportunities
Senior Architect,Bengaluru/Bangalore,,Software Development Department,1 Jun 2022,4.0,4.0,5.0,4.0,3.0,3.0,3.0,Old style working company,"Great opportunity to learn and grow, work life balance and company culture is good."
Quality And Regulatory Engineer,Pune,,Quality and regulatory Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,Employee benefits
Senior Software Engineer,"Pimpri-Chinchwad, Maharashtra",,Software Development Department,5 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Lot of Process work,
"Deputy Manager, Order Management",Gurgaon/Gurugram,Full Time,SCM & Logistics Department,7 Apr 2022,4.0,4.0,4.0,4.0,5.0,5.0,4.0,"Flexible working hours
Growth opportunities",Less cross functional exposure particularly in Philips India
Team Manager,Chennai,Full Time,,6 Oct 2022,5.0,5.0,3.0,5.0,3.0,3.0,4.0,Working culture and the balance,Mostly we didn’t feel any negitive
Manager Manufacturing Engineering,Pune,Full Time,Engineering Department,9 May 2023,4.0,3.0,3.0,5.0,3.0,4.0,4.0,Salary and perks are good,Nothing
General Manager,"Chennai, Tamil Nadu",Full Time,Procurement & Purchase Department,3 Aug 2022,4.0,5.0,3.0,4.0,4.0,4.0,4.0,Work life balance,Too slow to change
Assistant Manager,KOLKATA,Full Time,Retail & B2C Sales Department,4 Feb 2022,4.0,5.0,5.0,4.0,4.0,4.0,5.0,"Overall circumstances is good , developed self skill from every angle ..","Required end to end interactions to resolve few official matter ,hr related matter those who are just new .."
Executive Sales And Marketing,"Siliguri, West Bengal",Full Time,Marketing Department,5 Nov 2022,4.0,5.0,5.0,4.0,3.0,5.0,4.0,"Work Culture, clarity of work, upper management.",Not such dislikes it's manageable.
Senior Architect,Bengaluru/Bangalore,,Software Development Department,7 Dec 2021,2.0,1.0,3.0,1.0,1.0,1.0,1.0,There seems to be nothing which you like working here.,Politics all over the hierarchy. Recently all of the US managed jobs are moved to India therefore the quality of the job in hand is in question as the management tend to prioritize favouritism over skilled labour. Prioritization of work is always done based on personal interest.
Production Manager,Pune,,Engineering Department,4 May 2023,2.0,1.0,2.0,3.0,3.0,1.0,1.0,Unlimited sick leaves,Work life balance is worst
Sales Advisor,New Delhi,,Retail & B2C Sales Department,8 Jun 2022,5.0,3.0,4.0,4.0,3.0,5.0,4.0,All good .,If you have emergency They didn't provide leave more 10 days in that condition they will remove employee..
Manager,Chennai,,IT Infrastructure Services Department,1 Jun 2022,3.0,4.0,2.0,4.0,1.0,4.0,2.0,The work and stakeholders are very friendly,The crying over budget every now and then
Technical Project Manager,Home Based (working remotely),Full Time,Engineering & Manufacturing Department,2 Feb 2022,4.0,3.0,4.0,4.0,5.0,5.0,5.0,"Team is very supportive. Manager is amazing. Provides opportunities and trusts the team members. 
8 weeks Paternity leaves, unlimited sick leaves.",Insurance benefit needs improvement.
Trainee Engineer In Production,Pune,Full Time,Production Department,3 May 2022,4.0,2.0,5.0,4.0,3.0,5.0,3.0,"So many things learn in Philips, good culture...team work is good..",Don't like the contract besis .... otherwise all is good
Assistant Manager Legal Compliance,Chennai,Full Time,,6 Apr 2022,1.0,3.0,1.0,1.0,1.0,1.0,1.0,The company is completely in a terrible situation at present.. no proper HR team or no proper manager to support. ! Not a good hike or bonus . Worst company to work with at present .. I repeat.. think before choosing an offer at Philips you will regret later,There will not proper response if you go for anything to the HR team.. high time political place .. Brahmin rules the organisation and you will be treated like a shit if you are a non Brahmin or your talent will be used for someone's credit .
Manager Finance Accounts,Chennai,Full Time,Accounting & Taxation Department,1 Apr 2022,2.0,4.0,2.0,2.0,2.0,3.0,1.0,Work-life balancing is better.,No opportunity for career growth.
Clinical Application Specialist,Hyderabad,,Image Guided Therapy Department,0 Jun 2022,1.0,4.0,4.0,3.0,4.0,4.0,3.0,This job gives great exposure to someone who likes to be in touch with Cardiologists.,Intensive travel
Business Analyst,Bengaluru/Bangalore,,Business Intelligence & Analytics Department,3 Dec 2021,3.0,3.0,5.0,4.0,1.0,3.0,4.0,"Great and Challenging Business Processes. Amazing list of opportunities.
Pressure and Challenge are synonymous in any high demanding business environment, and that is essential for an Individual to progress and move up in the learning curve.","Not very open for innovation, tend go by a lengthy process.
Through innovation lots of things cou,ld be made better."
