Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Engineer,Chennai,Full Time,Engineering Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Company culture,Atmosphere is very Hot
Sr. Executive,Neemrana,Full Time,Recruitment & Talent Acquisition Department,8 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Working condition is good,Employee engagement activities must be increase.
Manufacturing Process Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,0 Aug 2023,5.0,4.0,4.0,5.0,5.0,4.0,5.0,Holidays are more so plan some other work,Politics work pressure in dept
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,4 Aug 2023,4.0,5.0,3.0,3.0,5.0,5.0,2.0,Holidays and alternate  sat. Off,Skill development
Engineer,Neemrana,Full Time,Production Department,0 Aug 2023,3.0,3.0,3.0,2.0,4.0,3.0,2.0,"company  bus service, canteen service, uniform , environment, safety
All well","Low salary , late promotion,"
Quality Engineer Training,Neemrana,Full Time,Production & Manufacturing Department,0 Aug 2023,5.0,4.0,5.0,4.0,5.0,4.0,3.0,This company is best company in air-conditioning company and safety culture is best,Salary insufficient pay for employees
Senior  Engineer Customer Service,Ahmedabad,Full Time,Service Delivery Department,8 Aug 2023,4.0,4.0,5.0,4.0,5.0,3.0,3.0,Good VRV product,Time limit
Area Service Manager,North India,Full Time,After Sales Service & Repair Department,8 Aug 2023,3.0,2.0,3.0,2.0,3.0,5.0,2.0,Channel partners are supportive. Also bosses are supportive except few one.,Non metro cities daikin need to work more on structure.
Production Engineer,Neemrana,Full Time,"Operations, Maintenance & Support Department",6 Aug 2023,5.0,4.0,5.0,4.0,5.0,5.0,3.0,"Japanese culture work with proper safety guidelines 
appraisals are more than your efforts in this company",Nothing
Marketing Quality Control,"Neemrana, Rajasthan",Full Time,Quality Assurance and Testing Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It is a very good company and good work for any new employees,Selry is verry low
Assistant Engineer,"Neyveli, Tamil Nadu",Full Time,Engineering Department,7 Aug 2023,4.0,5.0,4.0,4.0,5.0,4.0,3.0,Job security. All other facilities.,Increment and promotion.
Deputy Manager,"Surat, Gujarat",Full Time,Sales Support & Operations Department,3 Aug 2023,2.0,2.0,2.0,3.0,3.0,1.0,2.0,Salary,Work life balance and company culture
Design Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,2 Aug 2023,3.0,3.0,3.0,3.0,4.0,3.0,2.0,Good working culture and safety rules follow,Promotions is delay
Asst. Executive Hr,Neemrana,Full Time,HR Operations Department,2 Aug 2023,3.0,4.0,2.0,3.0,4.0,4.0,3.0,Work life balance is good.,Training and Development
