Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Sales And Promotion Executive,Jabalpur,,Retail & B2C Sales Department,0 Apr 2022,5.0,5.0,4.0,4.0,4.0,4.0,3.0,All senier are supporting the team and do it the team work,
BMM,Bengaluru/Bangalore,Full Time,Marketing Department,9 Apr 2022,2.0,1.0,2.0,1.0,1.0,1.0,1.0,Not a good company to work with.. BRAND IS RUNNING BECAUSE OF ITS GOODWILL MADE BY PEOPLE EARLIER AND WITH STRONG PRODUCT FEATURES AND TECHNOLOGY,ALL 360 DEGREE
Graduate Engineer Trainee,Pune,Full Time,Engineering & Manufacturing Department,9 Mar 2022,4.0,3.0,4.0,4.0,5.0,5.0,4.0,Working standards very high,Far from city
Forklift Operator,Greater Noida,Full Time,Content Management (Print / Online / Electronic) Department,4 Jan 2022,4.0,4.0,3.0,4.0,3.0,4.0,5.0,Best forklift driver and best forklift cliemp,Best for forklift Operator and best work
Coimbatore,"Coimbatore, Tamil Nadu",Full Time,,6 Aug 2022,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Good place to learn,Management
Dso,Allahabad/Prayagraj,,Sales Support & Operations Department,9 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"Good work environment and culture. Teammates & Senior's are supportive and management is transparent. Company policies are good, appraisal are fair and they give good salary and bonus every year.",Salary is decent but career growth is slow.
Team Leader,Visakhapatnam,,Sales Support & Operations Department,4 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything is good,No Dislike
Senior Mis Executive,Noida Sector 16,,Finance & Accounts Department,6 Aug 2021,5.0,3.0,1.0,3.0,5.0,2.0,2.0,Here is work security is good but who's workers working here as a third party payroll for that's culture is not very good and company facilities Also not same both are payroll and offroll.,Not proper digestion and for third party payroll for not a good culture and also not proper grouth in feature
Senior Engineer -materials,Pune,,Procurement & Purchase Department,4 Apr 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Very good system to work,Good work
Manager Hrd,"Mumbai, Maharashtra",,,5 Jun 2022,4.0,4.0,4.0,4.0,4.0,2.0,4.0,Ok working condition,Company policies
Data Entry Operator,Mettupalayam,,Data Entry Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,
Area Service Manager,Navi Mumbai,Full Time,Operations Department,6 Feb 2022,3.0,1.0,2.0,3.0,3.0,3.0,1.0,All good,Work life balance
Manager,Rajkot,Full Time,Enterprise & B2B Sales Department,0 Apr 2022,4.0,1.0,2.0,3.0,1.0,2.0,3.0,Aggressivness,Work - life balance
Seles Executive   (working remotely),,Full Time,Retail & B2C Sales Department,1 Jan 2023,5.0,5.0,5.0,3.0,3.0,5.0,4.0,Yes,In lg work like very nice
Manager - Retail Marketing,All Over India,,Marketing Department,0 May 2022,3.0,1.0,2.0,5.0,5.0,1.0,3.0,Incentives and lots of work,Too much work… No personal life.. Lots of politics in promotions…
Assistant Manager - Corporate Planning,Noida,,Finance Department,8 Apr 2022,3.0,5.0,2.0,3.0,4.0,4.0,2.0,Job security,No work satisfaction
Manager AR Credit Insurance,"Greater Noida, Uttar Pradesh",,,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good environment with ethics..,Nothing
Hr Specialist,Chennai,,,6 Jul 2022,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Job security,Nothing  in this company
Job Trainee,Lucknow,,Worker Helper teem leader  Department,1 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good product,Not dislike only like
Senior Design Engineer,Greater Noida,,Engineering & Manufacturing Department,4 Apr 2023,3.0,1.0,3.0,4.0,5.0,2.0,3.0,On time salary and job security,Work life balance
Senior Engineer,Pune,,Engineering Department,7 Feb 2022,3.0,1.0,3.0,3.0,2.0,1.0,1.0,Nothing,Work Life balance and No global systems are used..very hard to find another job because of  korean way of working
Sales Executive,Durgapur,Full Time,,5 Apr 2022,4.0,4.0,5.0,3.0,3.0,3.0,3.0,Good experience job skills,Yearly no growth salary
Store Sales Executive,Agartala,Full Time,,7 Mar 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great job it was a good time when I am working in LG,Management and facilities
Senior Service Officer,"Patna, Bihar",Full Time,Construction Engineering Department,3 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Very supportive culture no political.,Poor Increment.
Data Engineer,Mysuru,Full Time,Software Development Department,7 May 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,I liked to work lg company,"Worst experience and poor leadership, and HR,"
Deputy Manager Supply Chain,Noida,,scm Department,0 Aug 2021,1.0,1.0,1.0,2.0,4.0,1.0,1.0,"Career growth is very slow, the work pressure is very high , Managers do not value an individuals ,managers are don't have any power to take decision, they work like a puppets of Korean leadership.",Overall Good
Area Sales Manager,Hyderabad,,Retail & B2C Sales Department,2 Feb 2022,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Nothing,Good work environment
Sr. General Manager Corporate Planning,Noida,,Finance Department,9 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Slow salary growth,Good work environment and culture
Team Leader,Noida,,Marketing Department,3 Jan 2022,5.0,4.0,3.0,4.0,4.0,4.0,3.0,Career growth is slow,Lg working  everyday new technology to progress
Refrigeration Technician,Ahmedabad,,Gas charging refrigerator Department,6 May 2022,5.0,5.0,5.0,5.0,1.0,5.0,1.0,Not growth,Nothing
Senior Engineer,Pune,,Production & Manufacturing Department,0 Feb 2022,2.0,1.0,1.0,2.0,2.0,1.0,2.0,Everything,
Assistant Manager Maintenance,Pune,Full Time,,3 Jun 2022,4.0,3.0,4.0,4.0,5.0,3.0,4.0,Freedom to lead,"Politics , long working hours"
Assistant Manager Operations,"Greater Noida, Uttar Pradesh",Full Time,Stores & Material Management Department,2 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good to work at LG,Not any issue
Senior Officer,Mumbai,Full Time,Operations Support Department,4 Oct 2021,3.0,3.0,3.0,3.0,3.0,3.0,3.0,We are working as a team n our team supports each other when needed.,People discriminate in on role and off role employees.  This company needs to improve.
Deputy Manager,"Thane, Maharashtra",Full Time,Operations Support Department,1 Sep 2022,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Good work culture,Nothing bad
Electrical Engineer,Ranjangaon Pune,Full Time,Maintenance Department,2 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Meets new learning,shift time is not correct
Field Service Engineer,Near Medical Chauraha Tigor Town Punjabi Bhawan Allahabad,,Non Voice Department,9 Nov 2022,5.0,4.0,4.0,4.0,3.0,3.0,3.0,We complete work on timely. Best service it gives.,It gives preferred customer only.
Assistant General Manager,Greater Niida (Delhi NCR),,Procurement & Purchase Department,2 Feb 2022,5.0,4.0,5.0,5.0,5.0,4.0,4.0,Overall Good Experience.,Need to focus on Work life balance more .
Senior Sales Executive,Delhi Cantt,,Enterprise & B2B Sales Department,7 Feb 2022,5.0,3.0,5.0,4.0,4.0,4.0,4.0,Good Salary and good incentives,Long Timing shifts
Sales Officer,Ludhiana,,Sales & Marketing Department,0 Dec 2020,4.0,4.0,5.0,3.0,2.0,4.0,1.0,Good Brand,Seniors
Sales Executive,Jaipur,,,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All company management ok,
Technical HE Engineer,Bangalore,Full Time,"Operations, Maintenance & Support Department",0 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Overall good,am satisfied, friendly environmental","Leave not satisfied, and increment not satisfied,"
Assistant Manager,Greater Noida,Full Time,Engineering & Manufacturing Department,0 Mar 2022,5.0,4.0,5.0,4.0,5.0,4.0,5.0,Job security,Work culture
Sales Executive,Store,Full Time,Retail & B2C Sales Department,8 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good environment this working,Fules commitment are dislikes
Senior Sales Executive,Kolhapur,Full Time,,6 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KNOWLEDGE AND SKILL DEVELOPMENT,Nobody
Area Sales Manager,Noida,,Enterprise & B2B Sales Department,6 Dec 2021,4.0,3.0,5.0,4.0,4.0,4.0,4.0,Good MNC company to work and you can learn many things,Work life balance is a bit concerned especially in sales department
Senior Sales Executive,Kolkata,,BD / Pre Sales Department,1 Nov 2021,5.0,3.0,5.0,3.0,2.0,2.0,2.0,Company is Xcilent and v v strong in each and every manufacturing units with Xcilent customer service.,V v v poor management behaviors over there sse with total missleding unfair and unrulling
Assistant Manager,"Vijayawada, Andhra Pradesh",,SCM & Logistics Department,3 Jun 2023,4.0,2.0,4.0,4.0,3.0,4.0,3.0,"Except work life balance,  remaining benefits are ok",Work life balance
Sales Promoter,Himmatnagar,,,1 Jul 2022,5.0,2.0,5.0,5.0,5.0,5.0,5.0,Yes,Lg company is. Very good
Senior Engineer I,Greater Noida,,Engineering & Manufacturing Department,0 Feb 2022,3.0,1.0,3.0,1.0,4.0,2.0,1.0,Only job security,Pathetic work life balance & Pathetic payscale
Customer Service Representative,Greater Noida,,Retail & B2C Sales Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,The environment there was very good.  Staff was very nice.  I really enjoyed working there.  i learned a lot too,There is nothing like dislike.
Sales Officer 1,Raipur,Full Time,,1 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good brand,Nothing to nagitive here
Air Condition Technician,Muzaffarnagar,Full Time,,8 Jun 2022,3.0,5.0,3.0,1.0,5.0,3.0,4.0,Mujhko lg me kam karana achha lagta hai,Nhi
Maintenance Supervisor,Greater Noida,Full Time,"Operations, Maintenance & Support Department",0 Apr 2022,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5s activity and work planning time to time shop floor upgrade and training etc.,"Team work, good beheave of others"
Sales Off,Bhubaneswar,,Business Intelligence & Analytics Department,4 Mar 2022,5.0,4.0,3.0,3.0,3.0,1.0,3.0,Very nice company in he /ha product,Culture & system
Manager Accounts,Vijayawad,,Top Management Department,8 Apr 2022,3.0,3.0,3.0,3.0,2.0,5.0,3.0,Growth slow,Company policies is good and management is very good
