Factory Name;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;Postal Code;Country / Region;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
Guangzhou Yisetong Clothing Co.Ltd;FINISHED GOODS;Apparel;Nike;;GUANGZHOU YISETONG;Jinshan Industrial Park 8 building 4F;Guangzhou;Guangdong;511400;China;N ASIA;5;4;3;0
GUSHI BRANCH YANGZHOU BAOYI SHOES;FINISHED GOODS;Footwear;Converse;;LAI YIH;Southeast corner intersection;Xinyang;Hunan;465200;China;N ASIA;236;213;99;0
H&L APPAREL(VIETNAM) CO.,LTD;FINISHED GOODS;Apparel;Nike;;H&L;Lot D 11 CN My Phuoc 2 IP My Phuoc Ward;Ben Cat District;Bình Duong;590000;Vietnam;SE ASIA;850;800;80;0
Ha Noi Garment No. 40 Joint Stock Company;FINISHED GOODS;Apparel;Nike;;MAXPORT;88 Ha Dinh Thanh Xuan Dist;Ha Noi City;Ha Noi;800000;Vietnam;SE ASIA;302;72;80;0
Haian Textile Printing & Dyeing (Fuqing) Co.,Ltd.;MATERIALS;Footwear;Converse;;HAIAN;Jiangyin Industrial Zone;Fuqing;Fujian;350313;China;N ASIA;43;33;26;0
Haivina Hong Linh Co. Ltd;FINISHED GOODS;Equipment;Nike;;HAIVINA HONG;Nam Hong Industrial Zone;Ha Tinh Province;Hà Tinh;480000;Vietnam;SE ASIA;1283;1154;98;0
Haiyan Golden Gate Socks Industry Co., Ltd;FINISHED GOODS;Equipment;Nike;;HAIYAN;No 15 Zhangqiao Village;Haiyan;Zhejiang;314300;China;N ASIA;65;44;52;0
HAYAFUJI;FINISHED GOODS;Footwear;Nike;;HAYAFUJI;96-9, Haradaniinui-cho, Ookitayama;Kyoto-shi;Kyoto;603-8487;Japan;N ASIA;5;4;50;0
HAYLEYS FABRIC PLC ;MATERIALS;Apparel;Nike;;MAS HOLDINGS;Nartupana Estate;Neboda;Kalutara;12030;Sri Lanka;S ASIA;1667;1236;12;0
HESHAN TOP EAGLE GARMENT LTD.;FINISHED GOODS;Apparel;Nike;;NICE APPAREL;NO 001 DISTRICT 3 OF HECHENG INDUSTRIAL PARK;Heshan;Guangdong;529727;China;N ASIA;701;375;95;0
HESHENG CO., LTD.;FINISHED GOODS;Equipment;Nike;Collegiate;HESHENG;Lot G14 Que Vo Industrial Park expansion;Bac Ninh;Bc Ninh;16852;Vietnam;SE ASIA;64;59;55;3
Hi-Tech Apparel Cambodia Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;A35 36 Poipet ONeang Special EcoZone;Poipet;Banteay Mean Chey;10902;Cambodia;SE ASIA;3300;2627;68;1
HI TECH APPAREL CO LTD, BRANCH 70;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;5 18 Soi suksawat;Bangkru;Samut Prakan;10130;Thailand;SE ASIA;1135;912;60;85
Hi-Tech Apparel Co. Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;328 Prachauthit Rd  Thoongkru;Bangkok;Bangkok;10140;Thailand;SE ASIA;1264;781;75;42
HI-TECH APPAREL CO.,LTD. (SUPANBURI BRANCH);FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;295 MOO 1 TAMBOL DONKAMYAN;Suphanburi;Suphan Buri;72000;Thailand;SE ASIA;365;320;77;13
Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.;FINISHED GOODS;Apparel;Nike;;HI TECH;9 Moo 11 Tambol Naseiw;Muang;Chaiyaphum;36000;Thailand;SE ASIA;842;740;57;37
Hi-Tech Chaiyaphum Apparel (2011) Co.,Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;999 Moo 3  Tumbol Ladyai   Amphur Muang;Muang;Chaiyaphum;36000;Thailand;SE ASIA;1052;922;59;20
Hi-Tech Surin Apparel co., ltd. (Branch 1);FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;489 Moo 7;Thatoom;Surin;32120;Thailand;SE ASIA;696;656;66;4
Hi-Tech Viet Nam Apparel Co.,Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;Block A3.2, Tay An Industrial Zone, Duy Trung Commune;Duy Xuyen District;Qung Nam;560000;Vietnam;SE ASIA;1787;1771;84;0
Higuchi Kaban Kobo ;FINISHED GOODS;Equipment;Nike;;CROSTER;2-4-18 Motogo;Saitama;Saitama;332-0011;Japan;N ASIA;19;15;50;13
Hip Keung (Cambodia) Manufacturing Co., Ltd.;FINISHED GOODS;Apparel;Nike;;HIP KEUNG;Preah Khe Village Kahang Commune;Phnom Penh;Kampong Spueu;50802;Cambodia;SE ASIA;723;694;80;1
HONG SHENG LEATHER DONGGUAN IND. CO., LTD;FINISHED GOODS;Equipment;Nike;Collegiate;GUANG DER;No25;Dong Guan;Guangdong;523121;China;N ASIA;1219;863;66;0
HONSIN APPAREL SDN. BHD.;FINISHED GOODS;Apparel;Nike;;HONSIN;531 BATU 2 1 2;BATU PAHAT;Johor;83000;Malaysia;S ASIA;957;878;24;83
Honways Apparel Shuyang Limited;FINISHED GOODS;Apparel;Nike;;HONSIN;No 6 Jiaxing Road East Shuyang Economic Dev Zone;Jiangsu Province;Jiangsu;223600;China;N ASIA;479;342;89;0
Hoosier Manufacturing, Compania Limitada;FINISHED GOODS;Apparel;Nike;;INDIANA KNITWEAR;18 Avenida 37-39 Zona 12;Guatemala;Guatemala;1000;Guatemala;AMERICAS;424;401;57;0
HUA FENG (CHINA);MATERIALS;Footwear;Nike;;HUA FENG TEXTILE;West side;Putian;Fujian;351146;China;N ASIA;280;231;34;0
Hua Feng Haptic Vietnam;MATERIALS;Footwear;Nike;;HUA FENG TEXTILE;4th floor of Textile Building;Nhon Trach;Ðng Nai;76000;Vietnam;SE ASIA;90;81;50;6
HUAFENG HAPTIC;FINISHED GOODS - COMPONENTS;Footwear;Nike;;HUA FENG TEXTILE;GF Building D10, Hua Feng Sporting Goods Industrial Park;Putian;Fujian;351144;China;N ASIA;92;75;64;0
Huaian Yuangtong Headwear Mfg Co Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;ASIAN SOURCING HEADWEAR;NO 30 YAN HUANG AVENUE;HUAI AN;Jiangsu;223400;China;N ASIA;702;567;82;0
Huajin Textile Printing &Dyeing Co.,LTD;MATERIALS;Footwear;Converse;;HUAJIN;No 1688 Huajin Street;Linyi County;Shanxi;44100;China;N ASIA;878;689;55;14
Hubei Sunsmile Footwear Co., Ltd.;FINISHED GOODS;Footwear;Converse;;FJ GROUP;NO 6 SHEN ZHEN INDUSTRIAL ZONE XIANG YANG CITY HUBEI CHINA;Xiang Yang;Hubei;441000;China;N ASIA;964;843;87;0
HUBEI TOP EAGLE GARMENT LTD.;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;EAST INDUSTRIAL PARK ECONOMIC DVELOPMENT ZONE;Songzi Hubei;Hubei;434200;China;N ASIA;343;278;93;0
HUIZHOU YANGMING INDUSTRIAL CO., LTD.;FINISHED GOODS;Equipment;Converse;;HYI;1 Xiaozhongtang 1st Road;HuiZhou;Guangdong;516001;China;N ASIA;60;40;66;0
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY;FINISHED GOODS;Apparel;Nike;;HUNG LONG GARMENT;NGUYEN VAN LINH STREET;MY HAO;Hung Yên;17000;Vietnam;SE ASIA;2300;2000;70;0
IMPULSE FASHION TAE HEE JOINT STOCK COMPANY;FINISHED GOODS;Apparel;Nike;;IMPULSE FASHION COMPANY;Phu Bai Industrial Zone;HUE;Tha Thiên-Hu;49000;Vietnam;SE ASIA;648;555;70;0
INDUSTRIAS MERLET, S.A. DE C.V.;FINISHED GOODS;Apparel;Nike;;INDUSTRIAS MERLET;Calle Circunvalacion No 3 Poligono A;Antiguo Cuscatlan ;La Libertad;0;El Salvador;AMERICAS;1068;949;60;0
INJEXTECH INC.;FINISHED GOODS;Equipment;Nike;;TAROKO INTERNATIONAL;No 407 Ben Tien Road Sec 2 An Nan District;Tainan;Tainan;709035;Taiwan;N ASIA;140;120;48;26
Interloop Limited;FINISHED GOODS;Apparel;Nike;;INTERLOOP;7 km Khurrianwala Jaranwala Road;Faisalabad;Punjab;37660;Pakistan;S ASIA;8771;6527;10;0
Iruna Comunicacion Textil - SERISUR;FINISHED GOODS;Apparel;Nike;;IRUNA;Poligono Industrial La Rosa V;Chauchina-Granada;Andalucía;18330;Spain;EMEA;16;13;50;0
ISA INDUSTRIAL CO LTD (HESHAN) (CHINA);MATERIALS;Footwear;Nike;;ISA;No  1 Xingli Road Hecheng Town;Heshan;Guangdong;529727;China;N ASIA;538;448;45;3
ISA INDUSTRIAL CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;ISA;LOT M2 M3 VIET HUONG 2 INDUSTRIAL ZONE AN TAY VILLAGE;Binh Duong;Bình Duong;75000;Vietnam;SE ASIA;610;560;48;4
Jade Apparel Industries;FINISHED GOODS;Apparel;Nike;;YESIM;3RD INDUSTRIAL ZONE;ALEXANDRIA;AI Iskandariyah;21533;Egypt;EMEA;885;614;34;2
Jade Apparel Industries SAE;FINISHED GOODS;Apparel;Nike;;YESIM;New Borg El Arab city;Alexandria;AI Iskandariyah;21934;Egypt;EMEA;1142;587;20;4
Jade Textile Egypt;FINISHED GOODS;Apparel;Nike;;YESIM;A 6 Zone 103 and 104;10th of Ramadan City;Ash Sharqiyah;12451;Egypt;EMEA;3504;2645;29;12
Jade textile Ismailia S.A.E;FINISHED GOODS;Apparel;Nike;;YESIM;200 acres El Mostakbel Are Ismailia public Free Zone;Ismailia;AI Isma iliyah;41622;Egypt;EMEA;3149;1975;34;3
Jiangsu Asian Sourcing Headwear MFG. CO., Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;ASIAN SOURCING HEADWEAR;No  2 South Guangzhou Road;Huai An;Jiangsu;223005;China;N ASIA;1170;929;86;0
JiangSu HongBao Sporting Goods Co., Ltd.;FINISHED GOODS;Equipment;Nike;;YEGIN;No 3 Building ShangShui Industry;HuaiAn;Jiangsu;223400;China;N ASIA;278;239;86;0
JIANGSU JINHUBAO GARMENT CO., LTD;FINISHED GOODS;Apparel;Converse;;DECOR;LIDIAN TOWN GUANGLING DISTRICT;YANGZHOU;Jiangsu;225106;China;N ASIA;141;122;85;0
Jiangxi Guangyou Shoetown Footwear Co., Ltd.;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Xiangtang village, Xiangtang town;Nanchang;Jiangxi;330201;China;N ASIA;1541;1196;84;0
JIAXING KANAAN BAG R&D CO.,LTD;FINISHED GOODS;Equipment;Nike;;KANAAN;Industrial Zone Qixing Town Nanhu District;Jiaxiang;Zhejiang;314002;China;N ASIA;127;30;80;0
JIAXING QUANG VIET GARMENT CO., LTD.;FINISHED GOODS;Apparel;Nike;;QUANG VIET;Pingxingxian Tongxinduan 318 Xindai Town;Ping Hu;Zhejiang;314211;China;N ASIA;1401;1272;62;0
JK GARMENTS PVT LTD;FINISHED GOODS;Apparel;Nike;;HONSIN;MADAGALLA ROAD IBBAGAMUWA;KURUNEGALA;Kurunegala;60500;Sri Lanka;S ASIA;1018;767;86;0
JOONGANG DYEING FABRIC CO., LTD;MATERIALS;Footwear;Nike;;JOONGANG TEXTILE;17 Hasinbeonyeong ro;Busan;Busan Gwangyeogsi;49432;South Korea;N ASIA;22;17;12;29
JOONGANG TEXTILE CO LTD (WARP/WEFT KNIT);MATERIALS;Footwear;Nike;;JOONGANG TEXTILE;15 Dadae ro 320beon gil;Busan;Busan Gwangyeogsi;49469;South Korea;N ASIA;75;28;43;4
JOV GARMENT ACCESSORIAL MATERIAL CO., LTD;MATERIALS;Apparel;Nike;;JOV GARMENT ACCESSORIAL MATERIAL;No 226 Pengfeng Road Dakun Industrial Zone;Songjiang;Shanghai;201600;China;N ASIA;117;66;46;0
K-L MFG. CO., INC.;FINISHED GOODS;Apparel;Nike;;K&L MANUFACTURING;2438 North Ruby Street;Spokane;Washington;99207;USA;AMERICAS;98;94;61;0
Kartli Textile Ltd;FINISHED GOODS;Apparel;Nike;;MILTEKS;20 Gagarini street;Rustavi;Tbilisi;3700;Georgia;EMEA;1278;1183;97;0
Kim's Embroidery, Inc.;FINISHED GOODS;Apparel;Nike;;KIMS EMBROIDERY;8770 SW Burnham Street;Portland;Oregon;97223;USA;AMERICAS;5;3;60;0
KITAI CO., LTD;FINISHED GOODS;Apparel;Nike;;KITAI;32 taka;kashiba;Nara;639-0241;Japan;N ASIA;73;61;65;2
KKN Apparel Co.,ltd;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;KKSEZ Neangkok Paklong Commune  Modulsiem Koh Kong  Cambodia;Koh Kong;Kaoh Kong;9401;Cambodia;SE ASIA;7567;6842;62;0
Kunshan Sabrina Clothes Making Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;SABRINA;No 31 Kongxiang East Road;Kunshan;Jiangsu;215331;China;N ASIA;860;751;90;0
KUO YUEN (TR1) (CHINA);MATERIALS;Footwear;Nike;;KUO YUEN;NO 2 Jing Cheng 2 Road Huang Jiang Dong Guan China;Dongguan;Guangdong;523750;China;N ASIA;205;152;41;0
KUO YUEN (VIETNAM);MATERIALS;Footwear;Nike;;KUO YUEN;NHON TRACH 3 INDUSTRIAL ZONE NHON TRACH DISTRICT;Dong Nai;Ðng Nai;810000;Vietnam;SE ASIA;252;183;70;6
KUO YUEN (VIETNAM) TAY NINH;MATERIALS;Footwear;Nike;;KUO YUEN;Thanh Thanh Cong Industrial Zone;Trang Bang;Tây Ninh;840000;Vietnam;SE ASIA;414;347;40;6
KURARAY CO LTD (CLARINO) (TR1) (TR1) (CHINA);MATERIALS;Footwear;Nike;;KURARAY;NO 1568 Dongfang Road Jiaxing;Jiaxing Zhejiang;Zhejiang;314031;China;N ASIA;390;200;60;0
KURARAY CO LTD (CLARINO) (TR1) (TR1) (TAIWAN);MATERIALS;Footwear;Nike;;KURARAY;1 2 1  Kaigan dori  Minami ku;Osaka;Okayama;7028601;Japan;N ASIA;1700;1400;40;0
